Distance,Blocked,Action,Reward
380.78867,0.0,1,-372.00130889828114
375.9322,0.0,3,-370.7886552931954
374.7666,0.0,1,-365.9321747336878
373.66428,0.0,1,-364.7665940288702
372.62582,0.0,1,-363.6642878306676
367.72952,0.0,3,-362.6258176777342
366.74243,0.0,1,-357.7295201639379
365.82098,0.0,1,-356.742416417845
364.96576,0.0,1,-355.8209944768069
360.03473,0.0,3,-354.9657518178932
359.2353,0.0,1,-350.0347205478938
360.03473,0.0,0,-349.23529893372114
359.2353,0.0,1,-350.0347205478938
358.50385,0.0,1,-349.23529893372114
353.5534,0.0,3,-348.50383540486706
352.881,0.0,1,-343.5533905932738
347.9224,0.0,3,-342.8809997718778
348.60437,0.0,0,-337.92240514229604
347.9224,0.0,1,-338.60436027106715
347.3111,0.0,1,-337.92240514229604
342.34485,0.0,3,-337.3110997362451
341.79672,0.0,1,-332.3448553724738
336.8234,0.0,3,-331.796723214252
336.3406,0.0,1,-326.82339586198583
331.36084,0.0,3,-326.34060117684277
330.94562,0.0,1,-321.3608305156178
330.6055,0.0,1,-320.94561486745823
325.6148,0.0,3,-320.6055050963308
325.34598,0.0,1,-315.61480310329875
320.35138,0.0,3,-315.3459696999488
320.15622,0.0,1,-310.3513695928269
315.1587,0.0,3,-310.1562118716424
315.03967,0.0,1,-305.15869018638847
310.0403,0.0,3,-305.03968004046726
305.041,0.0,3,-300.0403199585499
305.0,0.0,1,-295.04098085339285
300.0,0.0,3,-295.0
295.0,0.0,3,-290.0
290.0,0.0,3,-285.0
295.0,0.0,2,-280.0
290.0,0.0,3,-285.0
290.0431,0.0,1,-280.0
285.04385,0.0,3,-280.0431002454635
280.04465,0.0,3,-275.0438562747845
275.04544,0.0,3,-270.04463929880893
270.0463,0.0,3,-265.04545078950133
265.04718,0.0,3,-260.04629232781554
260.04807,0.0,3,-255.04716561397146
255.04901,0.0,3,-250.04807247891688
250.04999,0.0,3,-245.04901489713697
245.05101,0.0,3,-240.04999500099976
240.05208,0.0,3,-235.05101509685693
235.05319,0.0,3,-230.05207768315609
230.05434,0.0,3,-225.05318547086316
225.05554,0.0,3,-220.05434140654683
220.05681,0.0,3,-215.055548698538
215.05814,0.0,3,-210.05681084665386
210.05951,0.0,3,-205.05813167606567
205.06097,0.0,3,-200.05951537600004
200.06248,0.0,3,-195.0609665440988
205.06097,0.0,2,-190.06249023742558
200.06248,0.0,3,-195.0609665440988
195.06409,0.0,3,-190.06249023742558
190.06578,0.0,3,-185.0640920313116
185.06755,0.0,3,-180.06577808748213
180.06943,0.0,3,-175.06755523321746
175.07141,0.0,3,-170.06943105369106
170.07352,0.0,3,-165.07141400011596
165.07574,0.0,3,-160.07351351694948
160.07811,0.0,3,-155.07574019219177
155.08063,0.0,3,-150.0781059358212
150.08331,0.0,3,-145.08062419270823
145.08618,0.0,3,-140.08331019803634
140.08926,0.0,3,-135.08618128546908
135.09256,0.0,3,-130.089257261219
130.09612,0.0,3,-125.09256086106296
125.09996,0.0,3,-120.09611831257686
120.10412,0.0,3,-115.09996003196804
115.10864,0.0,3,-110.10412149464314
110.11358,0.0,3,-105.10864433221339
105.11898,0.0,3,-100.11357772772621
100.12492,0.0,3,-95.11898020814318
95.131485,0.0,3,-90.12492197250393
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.0,0.0,0,-85.13148795220224
95.0,1.0,3,-115.0
95.0,1.0,3,-115.0
95.0,1.0,3,-115.0
95.131485,0.0,0,-85.0
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.131485,1.0,3,-115.13148795220224
95.524864,0.0,0,-85.13148795220224
100.49876,0.0,2,-85.524865872714
95.524864,0.0,3,-90.4987562112089
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
100.49876,0.0,2,-85.524865872714
105.47511,0.0,2,-90.4987562112089
100.49876,0.0,3,-95.47511554864494
95.524864,0.0,3,-90.4987562112089
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
100.49876,0.0,2,-85.524865872714
95.524864,0.0,3,-90.4987562112089
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
96.17692,0.0,0,-85.524865872714
96.17692,1.0,3,-116.17692030835673
95.524864,0.0,1,-86.17692030835673
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
96.17692,0.0,0,-85.524865872714
96.17692,1.0,3,-116.17692030835673
95.524864,0.0,1,-86.17692030835673
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
96.17692,0.0,0,-85.524865872714
96.17692,1.0,3,-116.17692030835673
95.524864,0.0,1,-86.17692030835673
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
100.49876,0.0,2,-85.524865872714
101.118744,0.0,0,-90.4987562112089
96.17692,0.0,3,-91.11874208078342
96.17692,1.0,3,-116.17692030835673
95.524864,0.0,1,-86.17692030835673
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
96.17692,0.0,0,-85.524865872714
96.17692,1.0,3,-116.17692030835673
95.524864,0.0,1,-86.17692030835673
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
96.17692,0.0,0,-85.524865872714
96.17692,1.0,3,-116.17692030835673
95.524864,0.0,1,-86.17692030835673
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
100.49876,0.0,2,-85.524865872714
95.524864,0.0,3,-90.4987562112089
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
100.49876,0.0,2,-85.524865872714
95.524864,0.0,3,-90.4987562112089
95.524864,1.0,3,-115.524865872714
95.524864,1.0,3,-115.524865872714
100.49876,0.0,2,-85.524865872714
95.524864,0.0,3,-90.4987562112089
100.49876,0.0,2,-85.524865872714
95.524864,0.0,3,-90.4987562112089
